Time Elapsed (s),Timestamp,Frequency,Moving Average
198.45702815055847,1756893570.793811,5976149.35873736,5976145.226988336
198.9632968902588,1756893571.30008,5976151.426357035,5976147.337497224
199.46575450897217,1756893571.802538,5976154.421023949,5976149.671083989
199.9683825969696,1756893572.305166,5976158.774993934,5976152.494260561
200.47589802742004,1756893572.812681,5976164.058914435,5976155.608005343
200.97822380065918,1756893573.315007,5976166.439020148,5976159.024061901
201.48097133636475,1756893573.817754,5976173.167903198,5976163.3723711325
201.9858911037445,1756893574.322674,5976177.374630964,5976167.963092536
202.49049878120422,1756893574.827282,5976181.709461059,5976172.549985961
202.9951832294464,1756893575.331966,5976187.973103464,5976177.332823766
203.50174593925476,1756893575.838529,5976194.783636401,5976183.001747018
204.0066270828247,1756893576.34341,5976199.907857449,5976188.349737868
204.51113748550415,1756893576.847921,5976206.0155158285,5976194.07791484
205.01581740379333,1756893577.352601,5976209.552187583,5976199.646460146
205.5204827785492,1756893577.857266,5976211.359407557,5976204.323720965
206.02696013450623,1756893578.363743,5976214.5899817655,5976208.284990037
206.5299413204193,1756893578.866724,5976217.921256222,5976211.8876697915
207.0336456298828,1756893579.370429,5976218.966973335,5976214.4779612925
207.5413339138031,1756893579.878117,5976220.975472301,5976216.762618236
208.04446387290955,1756893580.381247,5976222.489294969,5976218.9885957185
208.54884958267212,1756893580.885633,5976223.686839432,5976220.807967251
209.055504322052,1756893581.392288,5976225.198001828,5976222.263316372
209.56157088279724,1756893581.898354,5976226.947878871,5976223.85949748
210.06634259223938,1756893582.403126,5976229.829995816,5976225.630402183
210.5730803012848,1756893582.909864,5976233.475687564,5976227.827680701
211.078387260437,1756893583.41517,5976240.27721011,5976231.145754837
211.58069825172424,1756893583.917481,5976246.508276972,5976235.407809867
212.0834138393402,1756893584.420197,5976250.130416361,5976240.044317365
212.5876543521881,1756893584.924438,5976253.673150467,5976244.812948294
213.0927038192749,1756893585.429487,5976256.753476861,5976249.468506154
213.5957944393158,1756893585.932578,5976258.481732799,5976253.109410691
214.10234212875366,1756893586.439125,5976261.71186576,5976256.150128449
214.61072778701782,1756893586.947511,5976265.614222598,5976259.246889696
215.1157557964325,1756893587.452539,5976270.562750585,5976262.624809721
215.62059140205383,1756893587.957375,5976274.975700591,5976266.2692544665
216.1251757144928,1756893588.461959,5976278.087604925,5976270.190428892
